Tipo;Bairro;Quartos;Vagas;Suites;Area;Valor;Condominio;IPTU;Valor m2;Tipo Agregado
Casa;Jardim Botânico;2;0;1;100;7000.0;0.0;0.0;70.0;Casa
Casa;Campo Grande;4;1;2;400;12000.0;0.0;0.0;30.0;Casa
Casa;Méier;2;0;0;51;1500.0;50.0;0.0;29.41;Casa
Casa;Maracanã;8;3;5;259;7000.0;0.0;0.0;27.03;Casa
Casa;Benfica;1;0;0;33;1200.0;0.0;0.0;36.36;Casa
Casa;Jardim Carioca;3;2;1;135;3000.0;0.0;0.0;22.22;Casa
Casa;Lins de Vasconcelos;2;0;0;40;950.0;0.0;50.0;23.75;Casa
Casa;Tijuca;4;1;1;191;4000.0;300.0;0.0;20.94;Casa
Casa;Grajaú;5;4;2;450;7000.0;0.0;500.0;15.56;Casa
Casa;Tanque;2;1;0;59;1200.0;170.0;0.0;20.34;Casa
Casa;Campo Grande;3;0;0;200;2100.0;0.0;0.0;10.5;Casa
Casa;Bonsucesso;2;0;0;51;1000.0;0.0;0.0;19.61;Casa
Casa;Engenho Novo;2;0;0;70;1100.0;0.0;0.0;15.71;Casa
Casa;Jardim Botânico;2;4;1;107;9500.0;0.0;1091.0;88.79;Casa
Casa;Recreio dos Bandeirantes;4;4;2;367;12000.0;0.0;653.0;32.7;Casa
Casa;Botafogo;12;5;0;500;18000.0;0.0;1800.0;36.0;Casa
Casa;Catete;10;0;10;300;15000.0;0.0;220.0;50.0;Casa
Casa;Campo Grande;2;1;2;100;1500.0;0.0;30.0;15.0;Casa
Casa;Vargem Grande;2;1;0;70;1900.0;580.0;25.0;27.14;Casa
Casa;Santa Teresa;5;3;0;260;7000.0;0.0;163.0;26.92;Casa
Casa;Vila da Penha;1;0;0;40;850.0;0.0;0.0;21.25;Casa
Casa;Vaz Lobo;1;0;0;35;400.0;0.0;0.0;11.43;Casa
Casa;Itanhangá;3;2;1;321;9000.0;1400.0;0.0;28.04;Casa
Casa;Taquara;3;1;0;100;2100.0;250.0;0.0;21.0;Casa
Casa;Campo Grande;2;1;0;100;1300.0;0.0;0.0;13.0;Casa
Casa;Campo Grande;2;0;0;70;1000.0;0.0;0.0;14.29;Casa
Casa;Barra da Tijuca;4;6;2;232;6500.0;1100.0;800.0;28.02;Casa
Casa;Ramos;2;0;0;40;950.0;0.0;0.0;23.75;Casa
Casa;Anil;3;6;1;280;2800.0;0.0;190.0;10.0;Casa
Casa;Campo Grande;5;2;5;120;10000.0;0.0;0.0;83.33;Casa
Casa;Vargem Grande;7;10;2;500;12000.0;0.0;20.0;24.0;Casa
Casa;Barra da Tijuca;4;6;2;800;9800.0;0.0;490.0;12.25;Casa
Casa;Recreio dos Bandeirantes;3;0;0;614;4500.0;0.0;576.0;7.33;Casa
Casa;Tijuca;4;6;0;160;3500.0;0.0;0.0;21.88;Casa
Casa;Piedade;2;0;0;95;1100.0;0.0;0.0;11.58;Casa
Casa;Barra da Tijuca;5;4;5;890;17000.0;2500.0;2500.0;19.1;Casa
Casa;Freguesia (Jacarepaguá);4;4;1;300;4500.0;0.0;0.0;15.0;Casa
Casa;Barra da Tijuca;6;1;0;425;13000.0;0.0;580.0;30.59;Casa
Casa;Campo Grande;3;1;0;120;2800.0;0.0;0.0;23.33;Casa
Casa;Lagoa;6;1;0;750;18000.0;0.0;1200.0;24.0;Casa
Casa;Urca;6;5;5;1000;13000.0;0.0;0.0;13.0;Casa
Casa;Campo Grande;2;1;0;80;1200.0;0.0;0.0;15.0;Casa
Casa;Barra da Tijuca;5;4;2;600;8000.0;0.0;0.0;13.33;Casa
Casa;Braz de Pina;3;1;0;69;1600.0;0.0;0.0;23.19;Casa
Casa;Jardim Carioca;3;2;1;317;5000.0;0.0;2221.0;15.77;Casa
Casa;Vila Valqueire;2;1;0;60;1050.0;0.0;5.0;17.5;Casa
Casa;Urca;5;4;3;350;16000.0;0.0;500.0;45.71;Casa
Casa;Santíssimo;2;0;0;60;800.0;0.0;0.0;13.33;Casa
Casa;Praça Seca;3;0;1;159;1400.0;0.0;100.0;8.81;Casa
Casa;Moneró;2;0;0;100;2500.0;0.0;0.0;25.0;Casa
Casa;Tijuca;2;0;0;50;2100.0;100.0;0.0;42.0;Casa
Casa;Campo Grande;2;1;0;60;1500.0;0.0;0.0;25.0;Casa
Casa;Oswaldo Cruz;1;0;0;40;900.0;0.0;0.0;22.5;Casa
Casa;Gávea;4;4;2;450;14000.0;0.0;7200.0;31.11;Casa
Casa;Campo Grande;2;1;0;70;1000.0;0.0;0.0;14.29;Casa
Casa;Vila Isabel;2;0;0;96;2000.0;0.0;40.0;20.83;Casa
Casa;Realengo;2;0;0;80;950.0;0.0;0.0;11.88;Casa
Casa;Campo Grande;3;0;2;120;1000.0;0.0;0.0;8.33;Casa
Casa;Penha Circular;3;1;0;102;2100.0;0.0;1200.0;20.59;Casa
Casa;Gávea;4;2;3;250;16000.0;0.0;400.0;64.0;Casa
Casa;Realengo;1;0;0;40;800.0;0.0;0.0;20.0;Casa
Casa;Freguesia (Jacarepaguá);3;2;0;213;2700.0;510.0;190.0;12.68;Casa
Casa;Campo Grande;4;5;1;596;4000.0;0.0;7627.0;6.71;Casa
Casa;Taquara;4;2;1;550;8000.0;0.0;0.0;14.55;Casa
Casa;Recreio dos Bandeirantes;2;1;2;212;6500.0;1363.0;287.0;30.66;Casa
Casa;Colégio;1;0;0;65;800.0;0.0;0.0;12.31;Casa
Casa;Campo Grande;2;0;0;70;1100.0;0.0;0.0;15.71;Casa
Casa;Recreio dos Bandeirantes;4;5;3;222;5800.0;638.0;354.0;26.13;Casa
Casa;Campo Grande;3;1;0;100;1500.0;0.0;0.0;15.0;Casa
Casa;Recreio dos Bandeirantes;4;2;4;900;14000.0;1170.0;0.0;15.56;Casa
Casa;Pilares;2;0;0;65;800.0;0.0;0.0;12.31;Casa
Casa;Bangu;2;2;0;120;1580.0;0.0;0.0;13.17;Casa
Casa;Vila Isabel;2;0;0;52;1500.0;0.0;0.0;28.85;Casa
Casa;Todos os Santos;2;1;0;90;1800.0;0.0;0.0;20.0;Casa
Casa;Campo Grande;2;1;0;80;2000.0;0.0;0.0;25.0;Casa
Casa;Santa Cruz;2;3;0;142;1600.0;0.0;0.0;11.27;Casa
Casa;Vargem Pequena;3;0;1;100;2800.0;380.0;0.0;28.0;Casa
Casa;Laranjeiras;2;0;0;46;1850.0;179.0;29.0;40.22;Casa
Casa;Campo Grande;4;1;4;100;1600.0;0.0;0.0;16.0;Casa
Casa;Vila Isabel;3;0;0;100;3000.0;0.0;219.0;30.0;Casa
Casa;Campo Grande;2;0;0;65;1500.0;0.0;0.0;23.08;Casa
Casa;Humaitá;3;2;1;234;10000.0;0.0;305.0;42.74;Casa
Casa;Campo Grande;2;0;0;70;1500.0;0.0;0.0;21.43;Casa
Casa;Engenho de Dentro;4;3;0;120;1500.0;0.0;0.0;12.5;Casa
Casa;Freguesia (Jacarepaguá);5;0;5;1000;20000.0;0.0;0.0;20.0;Casa
Casa;Curicica;3;3;1;130;3800.0;0.0;0.0;29.23;Casa
Casa;Barra da Tijuca;6;3;4;273;22000.0;2300.0;25000.0;80.59;Casa
Casa;Joá;3;0;3;350;6500.0;1900.0;10000.0;18.57;Casa
